email,fax,form,govxcontentsection,govxdescription,language,managername,mmdOfficesTypes,mmdOfficesTypes_tid,nid,officenamecode,officetypecode,payments,receptionaddressnotes,receptionphonenumbers,title,websiteurl
racheliav@emekyizrael.org.il,04-6521256,"{""onlineurl"": ""~"", ""email"": ""racheliav@emekyizrael.org.il"", ""fax"": ""04-6521256"", ""letter"": ""\u05ea.\u05d3. 90000, \u05e2\u05e4\u05d5\u05dc\u05d4 1812003\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,רחלי אבידוב,ועדים מקומיים,371,3103,13185,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 472, \u05d7\u05e9\u05d1\u05d5\u05df 151509\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 472, \u05d7\u05e9\u05d1\u05d5\u05df 151509\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 90000, עפולה 1812003",04-6520726,בית לחם הגלילית,"{""url"": ""www.emekyizrael.org.il"", ""title"": ""www.emekyizrael.org.il""}"
yifat@hebrewcenter.co.il,03-5248487,"{""onlineurl"": """", ""email"": ""yifat@hebrewcenter.co.il"", ""fax"": ""03-5248487"", ""letter"": ""\u05d1\u05d9\u05ea \u05dc\u05e2\u05d1\u05e8\u05d9\u05ea \u05e8\u05d0\u05e9\u05d5\u05df \u05dc\u05e6\u05d9\u05d5\u05df\r\n\u05e8\u05d7\u05d5\u05d1 \u05d0\u05d7\u05d3 \u05d4\u05e2\u05dd 7 \u05e8\u05d0\u05e9\u05d5\u05df \u05dc\u05e6\u05d9\u05d5\u05df, 7531209\r\n""}","<p dir=""RTL"" style=""margin-right: 36pt;"">החברה עוסקת בתכנון, הקמה, תפעול, אחזקה וניהול של בית לעברית ראשון לציון, אשר יוקם בתחום העיר ראשון לציון. במסגרת זאת, פועלת החברה לקידום וטיפוח מפעל העברית והנגשתו, בין היתר, באמצעות הצגת מיצגים; ייזום, פיתוח, ניהול וקיום פעילויות רב-תחומיות בתחום העברית ובתחום התרבות העברית, אשר יופעלו בבית לעברית; וייזום, פיתוח, ניהול וקיום ופרויקטים חברתיים/חינוכיים/תרבותיים לטיפוח ולהעצמת העברית והתרבות העברית, אשר יופעלו בבית לעברית.</p>",,he,יפעת שלום,חברה עירונית,325,5818,10452,10,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05de\u05d6\u05e8\u05d7\u05d9, \u05e1\u05e0\u05d9\u05e3 435, \u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df 030196"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05de\u05d6\u05e8\u05d7\u05d9, \u05e1\u05e0\u05d9\u05e3 435, \u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df 030196"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","בית לעברית ראשון לציון
רחוב אחד העם 7 ראשון לציון, 7531209",035274577,בית לעברית ראשון לציון,"{""url"": """", ""title"": """"}"
pinit@m-yehuda.org.il,02-9958601,"{""onlineurl"": ""~"", ""email"": ""pinit@m-yehuda.org.il"", ""fax"": ""02-9958601"", ""letter"": ""\u05de\u05e8\u05db\u05d6 \u05d0\u05d6\u05d5\u05e8\u05d9 \u05d4\u05e8 \u05d8\u05d5\u05d1, \u05d3.\u05e0. \u05e9\u05de\u05e9\u05d5\u05df 99700\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,פיני טורן,ועדים מקומיים,371,3392,13437,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 916, \u05d7\u05e9\u05d1\u05d5\u05df 126700/66\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 916, \u05d7\u05e9\u05d1\u05d5\u05df 126700/66\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מרכז אזורי הר טוב, ד.נ. שמשון 99700",02-9958982,בית מאיר,"{""url"": ""www.m-yehuda.org.il"", ""title"": ""www.m-yehuda.org.il""}"
pnina@modiin-region.muni.il,03-9722815,"{""onlineurl"": ""~"", ""email"": ""pnina@modiin-region.muni.il"", ""fax"": ""03-9722815"", ""letter"": ""\u05e8\u05d7' \u05de\u05d5\u05d3\u05d9\u05e2\u05d9\u05dd 10, \u05e9\u05d4\u05dd 6083210\r\n""}","<p><span style=""font-size: 12px;"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</span></p>",,he,יוסי אלימלך,ועדים מקומיים,371,3362,13407,13,"{""onlineurl"": """", ""banktransfer"": """", ""postalbank"": """", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","רח' מודיעים 10, שהם 6083210",03-9722805,בית נחמיה,"{""url"": ""http://www.modiin-region.muni.il"", ""title"": ""http://www.modiin-region.muni.il""}"
mirit@yoav.org.il,08-8500759,"{""onlineurl"": ""~"", ""email"": ""mirit@yoav.org.il"", ""fax"": ""08-8500759"", ""letter"": ""\u05de.\u05d0. \u05d9\u05d5\u05d0\u05d1 \u05d3\""\u05e0 \u05e9\u05e7\u05de\u05d9\u05dd 7981601\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,מירית דגני,ועדים מקומיים,371,3554,13596,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 928 , \u05d7\u05e9\u05d1\u05d5\u05df 14500/72\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 928 , \u05d7\u05e9\u05d1\u05d5\u05df 14500/72\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מ.א. יואב ד""נ שקמים 7981601",08-8500718,בית ניר,"{""url"": ""www.yoav.org.il"", ""title"": ""www.yoav.org.il""}"
pinit@m-yehuda.org.il,02-9958601,"{""onlineurl"": ""~"", ""email"": ""pinit@m-yehuda.org.il"", ""fax"": ""02-9958601"", ""letter"": ""\u05de\u05e8\u05db\u05d6 \u05d0\u05d6\u05d5\u05e8\u05d9 \u05d4\u05e8 \u05d8\u05d5\u05d1, \u05d3.\u05e0. \u05e9\u05de\u05e9\u05d5\u05df 99700\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,פיני טורן,ועדים מקומיים,371,3393,13438,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 916, \u05d7\u05e9\u05d1\u05d5\u05df 126700/66\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 916, \u05d7\u05e9\u05d1\u05d5\u05df 126700/66\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מרכז אזורי הר טוב, ד.נ. שמשון 99700",02-9958982,בית נקופה,"{""url"": ""www.m-yehuda.org.il"", ""title"": ""www.m-yehuda.org.il""}"
lishka@ganrave.org.il,08-9406169,"{""onlineurl"": ""~"", ""email"": ""lishka@ganrave.org.il"", ""fax"": ""08-9406169"", ""letter"": ""\u05d3.\u05e0. \u05e2\u05de\u05e7 \u05d4\u05e9\u05d5\u05e8\u05e7, \u05de\u05d5\u05e9\u05d1 \u05e2\u05d9\u05d9\u05e0\u05d5\u05ea 7682000\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,אביבה חיימוביץ,ועדים מקומיים,371,3450,13494,13,"{""onlineurl"": """", ""banktransfer"": """", ""postalbank"": """", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ד.נ. עמק השורק, מושב עיינות 7682000",08-9408242,בית עובד,"{""url"": ""www.ganrave.com"", ""title"": ""www.ganrave.com""}"
gali@gezer-region.muni.il,08-9247115,"{""onlineurl"": ""~"", ""email"": ""gali@gezer-region.muni.il"", ""fax"": ""08-9247115"", ""letter"": ""\u05d3.\u05e0. \u05e9\u05de\u05e9\u05d5\u05df, \u05d1\u05d9\u05ea \u05d7\u05e9\u05de\u05d5\u05e0\u05d0\u05d9 9978600\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,אריאל הילדסהיימר,ועדים מקומיים,371,3474,13518,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 936, \u05d7\u05e9\u05d1\u05d5\u05df 7100078\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 936, \u05d7\u05e9\u05d1\u05d5\u05df 7100078\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ד.נ. שמשון, בית חשמונאי 9978600",08-9274024,בית עוזיאל,"{""url"": ""www.gezer-region.muni.il"", ""title"": ""www.gezer-region.muni.il""}"
roni@beer-tuvia.org.il,08-8509705,"{""onlineurl"": ""~"", ""email"": ""roni@beer-tuvia.org.il"", ""fax"": ""08-8509705"", ""letter"": ""\u05d3\u05d5\u05d0\u05e8 \u05d1\u05d0\u05e8 \u05d8\u05d5\u05d1\u05d9\u05d4 83815""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.&nbsp;</p>,,he,רוני אזולאי,ועדים מקומיים,371,3517,13560,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 985, \u05d7\u05e9\u05d1\u05d5\u05df 22000/66"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 985, \u05d7\u05e9\u05d1\u05d5\u05df 22000/66"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",דואר באר טוביה 83815,08-8509706,בית עזרא,"{""url"": ""http://www.beer-tuvia.org.il"", ""title"": ""http://www.beer-tuvia.org.il""}"
avi_dg@hcarmel.org.il,04-8136349,"{""onlineurl"": ""~"", ""email"": ""avi_dg@hcarmel.org.il"", ""fax"": ""04-8136349"", ""letter"": ""\u05e7\u05d9\u05d1\u05d5\u05e5 \u05e2\u05d9\u05df \u05db\u05e8\u05de\u05dc, \u05d3.\u05e0. \u05d7\u05d5\u05e3 \u05d4\u05db\u05e8\u05de\u05dc 3086000\r\n""}",<p>&lt;p&gt;הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,אבי ברומברג,ועדים מקומיים,371,3211,13292,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d3\u05e7\u05e1\u05d9\u05d4 \u05d9\u05e9\u05e8\u05d0\u05dc, \u05e1\u05e0\u05d9\u05e3 001, \u05d7\u05e9\u05d1\u05d5\u05df 221759004"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d3\u05e7\u05e1\u05d9\u05d4 \u05d9\u05e9\u05e8\u05d0\u05dc, \u05e1\u05e0\u05d9\u05e3 001, \u05d7\u05e9\u05d1\u05d5\u05df 221759004"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","קיבוץ עין כרמל, ד.נ. חוף הכרמל 3086000",04-8136320,בית צבי,"{""url"": ""www.hof-hacarmel.co.il"", ""title"": ""www.hof-hacarmel.co.il""}"
udin@bns.org.il,08-9915831,"{""onlineurl"": ""~"", ""email"": ""udin@bns.org.il"", ""fax"": ""08-9915831"", ""letter"": ""\u05d3.\u05e0. \u05d4\u05e0\u05d2\u05d1 8532400""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,אודי נתן,ועדים מקומיים,371,3658,13700,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 921, \u05d7\u05e9\u05d1\u05d5\u05df 12640009"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 921, \u05d7\u05e9\u05d1\u05d5\u05df 12640009"", ""treasury"": ""\u05ea\u05e9\u05dc\u05d5\u05dd \u05d1\u05de\u05d6\u05d5\u05de\u05df, \u05d4\u05de\u05d7\u05d0\u05d4 \u05d0\u05d5 \u05db\u05e8\u05d8\u05d9\u05e1 \u05d0\u05e9\u05e8\u05d0\u05d9 \u05d1\u05e8\u05e9\u05d5\u05ea"", ""check"": ""\u05de\u05e9\u05dc\u05d5\u05d7 \u05d4\u05de\u05d7\u05d0\u05d4"", ""phone"": """", ""cash"": """"}",ד.נ. הנגב 8532400,08-9915885,בית קמה,"{""url"": ""http://bns.org.il"", ""title"": ""http://bns.org.il""}"
yosiy@glt.org.il,04676927,"{""onlineurl"": ""~"", ""email"": ""yosiy@glt.org.il"", ""fax"": ""04676927"", ""letter"": ""\u05de\u05e8\u05db\u05d6 \u05db\u05d3\u05d5\u05e8\u05d9, \u05d3.\u05e0. \u05d2\u05dc\u05d9\u05dc \u05ea\u05d7\u05ea\u05d5\u05df 1524800""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,יוסי יצחקי,ועדים מקומיים,371,3033,13063,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05e1\u05e0\u05d9\u05e3 549, \u05d7\u05e9\u05d1\u05d5\u05df 5110"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05e1\u05e0\u05d9\u05e3 549, \u05d7\u05e9\u05d1\u05d5\u05df 5110"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מרכז כדורי, ד.נ. גליל תחתון 1524800",046628204,בית קשת,"{""url"": """", ""title"": """"}"
doron.l@hevel-yavne.org.il,03-6361052,"{""onlineurl"": ""~"", ""email"": ""doron.l@hevel-yavne.org.il"", ""fax"": ""03-6361052"", ""letter"": ""\u05d3.\u05e0. \u05d0\u05d1\u05d8\u05d7 79860\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,דורון לוז,ועדים מקומיים,371,3469,13513,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05de\u05d6\u05e8\u05d7\u05d9, \u05e1\u05e0\u05d9\u05e3 416, \u05d7\u05e9\u05d1\u05d5\u05df 305418\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05de\u05d6\u05e8\u05d7\u05d9, \u05e1\u05e0\u05d9\u05e3 416, \u05d7\u05e9\u05d1\u05d5\u05df 305418\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",ד.נ. אבטח 79860,08-8622100,בית רבן,"{""url"": """", ""title"": """"}"
yosiy@glt.org.il,04676927,"{""onlineurl"": ""~"", ""email"": ""yosiy@glt.org.il"", ""fax"": ""04676927"", ""letter"": ""\u05de\u05e8\u05db\u05d6 \u05db\u05d3\u05d5\u05e8\u05d9, \u05d3.\u05e0. \u05d2\u05dc\u05d9\u05dc \u05ea\u05d7\u05ea\u05d5\u05df 1524800""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,יוסי יצחקי,ועדים מקומיים,371,3034,13064,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05e1\u05e0\u05d9\u05e3 549, \u05d7\u05e9\u05d1\u05d5\u05df 5110"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05e1\u05e0\u05d9\u05e3 549, \u05d7\u05e9\u05d1\u05d5\u05df 5110"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מרכז כדורי, ד.נ. גליל תחתון 1524800",046628204,בית רימון,"{""url"": """", ""title"": """"}"
racheliav@emekyizrael.org.il,04-6521256,"{""onlineurl"": ""~"", ""email"": ""racheliav@emekyizrael.org.il"", ""fax"": ""04-6521256"", ""letter"": ""\u05ea.\u05d3. 90000, \u05e2\u05e4\u05d5\u05dc\u05d4 1812003\r\n""}",<div>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</div>,,he,רחלי אבידוב,ועדים מקומיים,371,3104,13186,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 472, \u05d7\u05e9\u05d1\u05d5\u05df 151509\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 472, \u05d7\u05e9\u05d1\u05d5\u05df 151509\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 90000, עפולה 1812003",04-6520726,בית שערים,"{""url"": ""www.emekyizrael.org.il"", ""title"": ""www.emekyizrael.org.il""}"
rachela@hof-ashkelon.org.il,08-6727304,"{""onlineurl"": ""~"", ""email"": ""rachela@hof-ashkelon.org.il"", ""fax"": ""08-6727304\r\n"", ""letter"": ""\u05de\u05e8\u05db\u05d6 \u05d0\u05d6\u05d5\u05e8\u05d9, \u05ea.\u05d3. 90000, \u05d0\u05e9\u05e7\u05dc\u05d5\u05df 781003\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,רחלי אקוקה,ועדים מקומיים,371,3564,13606,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 650, \u05d7\u05e9\u05d1\u05d5\u05df 19040\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 650, \u05d7\u05e9\u05d1\u05d5\u05df 19040\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מרכז אזורי, ת.ד. 90000, אשקלון 781003",08-6776402,בית שקמה,"{""url"": ""www.hof-ashkelon.org.il"", ""title"": ""www.hof-ashkelon.org.il""}"
sarit.m@hefer.org.il,09-8989292,"{""onlineurl"": ""~"", ""email"": ""sarit.m@hefer.org.il"", ""fax"": ""09-8989292"", ""letter"": ""\u05de\u05d3\u05e8\u05e9\u05ea \u05e8\u05d5\u05e4\u05d9\u05df 4025000\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,שרית מימון,ועדים מקומיים,371,3227,14067,14,"{""onlineurl"": """", ""banktransfer"": """", ""postalbank"": """", ""treasury"": ""\u05ea\u05e9\u05dc\u05d5\u05dd \u05d1\u05de\u05d6\u05d5\u05de\u05df \u05d1\u05e8\u05e9\u05d5\u05ea"", ""check"": """", ""phone"": ""09-8989084"", ""cash"": """"}",מדרשת רופין 4025000,09-8981606,ביתן אהרן,"{""url"": ""www.hefer.org.il"", ""title"": ""www.hefer.org.il""}"
racheliav@emekyizrael.org.il,04-6521256,"{""onlineurl"": ""~"", ""email"": ""racheliav@emekyizrael.org.il"", ""fax"": ""04-6521256"", ""letter"": ""\u05ea.\u05d3. 90000, \u05e2\u05e4\u05d5\u05dc\u05d4 1812003\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,רחלי אבידוב,ועדים מקומיים,371,3105,13187,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 472, \u05d7\u05e9\u05d1\u05d5\u05df 151509\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 472, \u05d7\u05e9\u05d1\u05d5\u05df 151509\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 90000, עפולה 1812003",04-6520726,בלפוריה,"{""url"": ""www.emekyizrael.org.il"", ""title"": ""www.emekyizrael.org.il""}"
doron.l@hevel-yavne.org.il,03-6361052,"{""onlineurl"": ""~"", ""email"": ""doron.l@hevel-yavne.org.il"", ""fax"": ""03-6361052"", ""letter"": ""\u05d3.\u05e0. \u05d0\u05d1\u05d8\u05d7 79860\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,דורון לוז,ועדים מקומיים,371,3465,13509,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05de\u05d6\u05e8\u05d7\u05d9, \u05e1\u05e0\u05d9\u05e3 416, \u05d7\u05e9\u05d1\u05d5\u05df 305418\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05de\u05d6\u05e8\u05d7\u05d9, \u05e1\u05e0\u05d9\u05e3 416, \u05d7\u05e9\u05d1\u05d5\u05df 305418\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",ד.נ. אבטח 79860,08-8622100,בן זכאי,"{""url"": ""http://www.hevel-yavne.org.il"", ""title"": ""http://www.hevel-yavne.org.il""}"
dmoshe@matteasher.org.il,04-9879794,"{""onlineurl"": ""~"", ""email"": ""dmoshe@matteasher.org.il"", ""fax"": ""04-9879794"", ""letter"": ""\u05d3.\u05e0. \u05d2\u05dc\u05d9\u05dc \u05de\u05e2\u05e8\u05d1\u05d9, \u05de\u05d5\u05e2\u05e6\u05d4 \u05de\u05e7\u05d5\u05de\u05d9\u05ea \u05de\u05d8\u05d4 \u05d0\u05e9\u05e8\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,משה דוידוביץ,ועדים מקומיים,371,3299,13074,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 960, \u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df 117600/74"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 960, \u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df 117600/74"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ד.נ. גליל מערבי, מועצה מקומית מטה אשר",04-9879602,בן עמי,"{""url"": ""www.matte-asher-region.muni.il"", ""title"": ""www.matte-asher-region.muni.il""}"
pnina@modiin-region.muni.il,03-9722815,"{""onlineurl"": ""~"", ""email"": ""pnina@modiin-region.muni.il"", ""fax"": ""03-9722815"", ""letter"": ""\u05e8\u05d7' \u05de\u05d5\u05d3\u05d9\u05e2\u05d9\u05dd 10, \u05e9\u05d4\u05dd 6083210\r\n""}","<p><span style=""font-size: 12px;"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</span></p>",,he,יוסי אלימלך,ועדים מקומיים,371,3380,13425,13,"{""onlineurl"": """", ""banktransfer"": """", ""postalbank"": """", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","רח' מודיעים 10, שהם 6083210",03-9722805,בן שמן (כפר נוער),"{""url"": ""http://www.modiin-region.muni.il"", ""title"": ""http://www.modiin-region.muni.il""}"
pnina@modiin-region.muni.il,03-9722815,"{""onlineurl"": ""~"", ""email"": ""pnina@modiin-region.muni.il"", ""fax"": ""03-9722815"", ""letter"": ""\u05e8\u05d7' \u05de\u05d5\u05d3\u05d9\u05e2\u05d9\u05dd 10, \u05e9\u05d4\u05dd 6083210\r\n""}","<p><span style=""font-size: 12px;"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</span></p>",,he,יוסי אלימלך,ועדים מקומיים,371,3364,13409,13,"{""onlineurl"": """", ""banktransfer"": """", ""postalbank"": """", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","רח' מודיעים 10, שהם 6083210",03-9722805,בן שמן (מושב),"{""url"": ""http://www.modiin-region.muni.il"", ""title"": ""http://www.modiin-region.muni.il""}"
anat@lachish.org.il,08-6871674,"{""onlineurl"": ""~"", ""email"": ""anat@lachish.org.il"", ""fax"": ""08-6871674"", ""letter"": ""\u05de\u05d5\u05e2\u05e6\u05d4 \u05d0\u05d6\u05d5\u05e8\u05d9\u05ea \u05dc\u05db\u05d9\u05e9, \u05de\u05e8\u05db\u05d6 \u05db\u05e4\u05e8\u05d9 \u05e0\u05d4\u05d5\u05e8\u05d4""}","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק<span dir=""LTR"">.</span></p>",,he,עינת שרזי,ועדים מקומיים,371,5997,14029,14,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \r\n\u05e1\u05e0\u05d9\u05e3 645\r\n\u05d7\u05e9\u05d1\u05d5\u05df 643495\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \r\n\u05e1\u05e0\u05d9\u05e3 645\r\n\u05d7\u05e9\u05d1\u05d5\u05df 643495\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682,בני דקלים,"{""url"": """", ""title"": """"}"
