Title,Published,MMDOfficesTypes,GovXDescription,ManagerName,Email,Fax,ReceptionAddressNotes,ReceptionPhoneNumbers,websiteURL,PaymentBankTransfer,GovXContentSection,FormEmail,FormFax,FormLetter,FormOnlineURL,forWizard,MMDSubjects,MMDTypes,OfficeIcon,OfficeNameCode,OfficeTypeCode,PaymentCash,PaymentCheck,PaymentOnlineURL,PaymentPhone,PaymentPostalBank,PaymentTreasury
זנוח,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13445,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
זכריה,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13444,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
גפן,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13443,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
גבעת ישעיהו,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13442,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
גבעת יערים,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13441,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
בר גיורא,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13440,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
בקוע,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13439,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
בית נקופה,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13438,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
בית מאיר ,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13437,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
בית זית ,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13436,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
אשתאול,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13435,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
אורה,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13434,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
אדרת,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13433,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
אבן ספיר,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13432,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
אביעזר,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13431,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
עין נקובא,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13430,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66
",
צור הדסה,Yes,ועדים מקומיים,,פיני טורן,pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",02-9958982,"<a href=""http://www.m-yehuda.org.il"">www.m-yehuda.org.il</a>","בנק לאומי, סניף 916, חשבון 126700/66
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",pinit@m-yehuda.org.il,02-9958601,"מרכז אזורי הר טוב, ד.נ. שמשון 99700
",~,Yes,,,,13429,13,,,,,"בנק לאומי, סניף 916, חשבון 126700/66",
נופך,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13428,13,,,,,,
מבוא מודיעים,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13427,13,,,,,,
כרם בן שמן,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13426,13,,,,,,
בן שמן (כפר נוער),Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13425,13,,,,,,
בארות יצחק,Yes,ועדים מקומיים,,יוסי אלימלך ,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13424,13,,,,,,
כפר דניאל,Yes,ועדים מקומיים,,יוסי אלימלך ,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13423,13,,,,,,
שילת,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13422,13,,,,,,
רינתיה,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13421,13,,,,,,
נחלים,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13420,13,,,,,,
מזור,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13419,13,,,,,,
כפר רות,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13418,13,,,,,,
כפר טרומן,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13417,13,,,,,,
טירת יהודה ,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13416,13,,,,,,
חדיד,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13415,13,,,,,,
גמזו,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13414,13,,,,,,
גינתון,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13413,13,,,,,,
גבעת כח,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13412,13,,,,,,
ברקת,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13411,13,,,,,,
בני עטרות,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13410,13,,,,,,
בן שמן (מושב),Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13409,13,,,,,,
בית עריץ,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,No,,,,13408,13,,,,,,
בית נחמיה,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13407,13,,,,,,
אחיסמך,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13406,13,,,,,,
לפיד,Yes,ועדים מקומיים,,יוסי אלימלך,pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",03-9722805,"<a href=""http://www.modiin-region.muni.il"">http://www.modiin-region.muni.il</a>",,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",pnina@modiin-region.muni.il,03-9722815,"רח' מודיעים 10, שהם 6083210
",~,Yes,,,,13405,13,,,,,,
נירית,Yes,ועדים מקומיים,,בועז שויגר,shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",03-9000526,"<a href=""http://www.dsharon.org.il"">www.dsharon.org.il</a>","בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",~,No,,,,13404,13,,,,,"בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201",
רמות השבים ,Yes,ועדים מקומיים,,בועז שויגר,shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",03-9000526,"<a href=""http://www.dsharon.org.il"">www.dsharon.org.il</a>","בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",~,Yes,,,,13403,13,,,,,"בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201",
גת רימון,Yes,ועדים מקומיים,,בועז שויגר,shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",03-9000526,"<a href=""http://www.dsharon.org.il"">www.dsharon.org.il</a>","בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",~,Yes,,,,13402,13,,,,,"בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201",
גני עם,Yes,ועדים מקומיים,,בועז שויגר,shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",03-9000526,"<a href=""http://www.dsharon.org.il"">www.dsharon.org.il</a>","בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",~,Yes,,,,13401,13,,,,,"בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201",
בית ברל ,Yes,ועדים מקומיים,,בועז שויגר,shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",03-9000526,"<a href=""http://www.dsharon.org.il"">www.dsharon.org.il</a>","בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",~,Yes,,,,13400,13,,,,,"בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201",
רמת הכובש,Yes,ועדים מקומיים,,בועז שויגר,shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",03-9000526,"<a href=""http://www.dsharon.org.il"">www.dsharon.org.il</a>","בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",~,Yes,,,,13399,13,,,,,"בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201",
עינת,Yes,ועדים מקומיים,,בועז שויגר,shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",03-9000526,"<a href=""http://www.dsharon.org.il"">www.dsharon.org.il</a>","בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",~,Yes,,,,13398,13,,,,,"בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201",
ניר אליהו,Yes,ועדים מקומיים,,בועז שויגר,shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",03-9000526,"<a href=""http://www.dsharon.org.il"">www.dsharon.org.il</a>","בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>
",shviger@dsharon.org.il,03-9000528,"ת.ד. 500, נוה ירק 4994500
",~,Yes,,,,13397,13,,,,,"בנק איגוד, סניף 075, חשבון 083000013, ח.פ. 500242201",
